,Decision Tree,Decision Tree (OS),Random Forest,Random Forest (OS),Neural Network,Neural Network (OS)
0,1.0,0.7928843710292249,1.0,0.9199491740787802,1.0,0.806861499364676
1,0.8538461538461538,0.7669230769230769,0.9576923076923077,0.76,0.9046153846153846,0.5846153846153846
2,0.18702702702702703,0.6648648648648648,0.08972972972972973,0.45297297297297295,0.13297297297297297,0.652972972972973
3,1.0,0.8081113801452785,1.0,0.9219128329297821,1.0,1.0
